run_accession,study_accession,sample_accession,scientific_name,sample_title,tissue_type,dev_stage,tissue,tissue_source,condition,condition_source,metadata_source,study_title,metadata_blob
CRR314451,,,,,,,Unspecified,,Unspecified,,unresolved: non-INSDC accession (CNCB-NGDC GSA),,
CRR314452,,,,,,,Unspecified,,Unspecified,,unresolved: non-INSDC accession (CNCB-NGDC GSA),,
CRR314453,,,,,,,Unspecified,,Unspecified,,unresolved: non-INSDC accession (CNCB-NGDC GSA),,
CRR314454,,,,,,,Unspecified,,Unspecified,,unresolved: non-INSDC accession (CNCB-NGDC GSA),,
CRR314455,,,,,,,Unspecified,,Unspecified,,unresolved: non-INSDC accession (CNCB-NGDC GSA),,
CRR314456,,,,,,,Unspecified,,Unspecified,,unresolved: non-INSDC accession (CNCB-NGDC GSA),,
CRR314457,,,,,,,Unspecified,,Unspecified,,unresolved: non-INSDC accession (CNCB-NGDC GSA),,
CRR314458,,,,,,,Unspecified,,Unspecified,,unresolved: non-INSDC accession (CNCB-NGDC GSA),,
CRR314459,,,,,,,Unspecified,,Unspecified,,unresolved: non-INSDC accession (CNCB-NGDC GSA),,
CRR314460,,,,,,,Unspecified,,Unspecified,,unresolved: non-INSDC accession (CNCB-NGDC GSA),,
CRR314461,,,,,,,Unspecified,,Unspecified,,unresolved: non-INSDC accession (CNCB-NGDC GSA),,
CRR314462,,,,,,,Unspecified,,Unspecified,,unresolved: non-INSDC accession (CNCB-NGDC GSA),,
ERR2040723,PRJEB21674,SAMEA104170767,Amaryllis belladonna,OneKP Sample ID: LDME,,,Unspecified,,Unspecified,,ENA,1000 Plant (1KP) Transcriptomes: The Remaining Data,OneKP Sample ID: LDME | LDME | Illumina Genome Analyzer II paired end sequencing | 1000 Plants (1kP) RNA-Seq Transcriptome Sample ID: LDME | Illumina Genome Analyzer II paired end sequencing | description=1000 Plants (1kP) RNA-Seq Transcriptome Sample ID: LDME | organism=Amaryllis belladonna | scientific_name=Amaryllis belladonna | sequencer=GA II | source_mat_id=JCP-2012-1000-0003 (UMO) | title=OneKP Sample ID: LDME
ERR2040724,PRJEB21674,SAMEA104170768,Narcissus viridiflorus,OneKP Sample ID: XEUV,young leaf,,Leaf,declared,Unspecified,,ENA,1000 Plant (1KP) Transcriptomes: The Remaining Data,young leaf | OneKP Sample ID: XEUV | XEUV | Illumina HiSeq 2000 paired end sequencing | 1000 Plants (1kP) RNA-Seq Transcriptome Sample ID: XEUV | Illumina HiSeq 2000 paired end sequencing | description=1000 Plants (1kP) RNA-Seq Transcriptome Sample ID: XEUV | organism=Narcissus viridiflorus | scientific_name=Narcissus viridiflorus | sequencer=HiSeq | source_mat_id=Jury 12586 | tissue_type=young leaf | title=OneKP Sample ID: XEUV
ERR2040725,PRJEB21674,SAMEA104170769,Narcissus viridiflorus,OneKP Sample ID: IQYY,young flower,,Flower,declared,Unspecified,,ENA,1000 Plant (1KP) Transcriptomes: The Remaining Data,young flower | OneKP Sample ID: IQYY | IQYY | Illumina HiSeq 2000 paired end sequencing | 1000 Plants (1kP) RNA-Seq Transcriptome Sample ID: IQYY | Illumina HiSeq 2000 paired end sequencing | description=1000 Plants (1kP) RNA-Seq Transcriptome Sample ID: IQYY | organism=Narcissus viridiflorus | scientific_name=Narcissus viridiflorus | sequencer=HiSeq | source_mat_id=Jury 12586 | tissue_type=young flower | title=OneKP Sample ID: IQYY
ERR2040726,PRJEB21674,SAMEA104170770,Phycella chilensis,OneKP Sample ID: JDTY,leaves,,Leaf,declared,Unspecified,,ENA,1000 Plant (1KP) Transcriptomes: The Remaining Data,leaves | OneKP Sample ID: JDTY | JDTY | Illumina HiSeq 2000 paired end sequencing | 1000 Plants (1kP) RNA-Seq Transcriptome Sample ID: JDTY | Illumina HiSeq 2000 paired end sequencing | description=1000 Plants (1kP) RNA-Seq Transcriptome Sample ID: JDTY | organism=Rhodophiala pratensis | scientific_name=Rhodophiala pratensis | sequencer=HiSeq | source_mat_id=N. Garcia 4372 (G79) | tissue_type=leaves | title=OneKP Sample ID: JDTY
ERR2040727,PRJEB21674,SAMEA104170771,Traubia modesta,OneKP Sample ID: ZKPF,sepals,,Tepal/Petal,declared,Unspecified,,ENA,1000 Plant (1KP) Transcriptomes: The Remaining Data,sepals | OneKP Sample ID: ZKPF | ZKPF | Illumina HiSeq 2000 paired end sequencing | 1000 Plants (1kP) RNA-Seq Transcriptome Sample ID: ZKPF | Illumina HiSeq 2000 paired end sequencing | description=1000 Plants (1kP) RNA-Seq Transcriptome Sample ID: ZKPF | organism=Traubia modesta | scientific_name=Traubia modesta | sequencer=HiSeq | source_mat_id=Garcia 3014 | tissue_type=sepals | title=OneKP Sample ID: ZKPF
ERR2040728,PRJEB21674,SAMEA104170772,Zephyranthes treatiae,OneKP Sample ID: DPFW,leaves and flower buds,,Multiple/Pooled,declared,Unspecified,,ENA,1000 Plant (1KP) Transcriptomes: The Remaining Data,leaves and flower buds | OneKP Sample ID: DPFW | DPFW | Illumina HiSeq 2000 paired end sequencing | 1000 Plants (1kP) RNA-Seq Transcriptome Sample ID: DPFW | Illumina HiSeq 2000 paired end sequencing | description=1000 Plants (1kP) RNA-Seq Transcriptome Sample ID: DPFW | organism=Zephyranthes treatiae | scientific_name=Zephyranthes treatiae | sequencer=HiSeq | source_mat_id=N. Garcia 4373 | tissue_type=leaves and flower buds | title=OneKP Sample ID: DPFW
ERR3487375,PRJEB21674,SAMEA5881881,Phycella sp. 1KP,OneKP Sample ID: DMIN,leaves,,Leaf,declared,Unspecified,,ENA,1000 Plant (1KP) Transcriptomes: The Remaining Data,leaves | OneKP Sample ID: DMIN | DMIN | Illumina HiSeq 2000 paired end sequencing | 1000 Plants (1kP) RNA-Seq Transcriptome Sample ID: DMIN — Phycella aff. cyrtanthoides | Illumina HiSeq 2000 paired end sequencing | description=1000 Plants (1kP) RNA-Seq Transcriptome Sample ID: DMIN — Phycella aff. cyrtanthoides | organism=Phycella sp. 1KP | scientific_name=Phycella sp. 1KP | sequencer=HiSeq | source_mat_id=N. Garcia G01 | tissue_type=leaves | title=OneKP Sample ID: DMIN
SRR10198447,PRJNA574731,SAMN12868454,Lycoris radiata,Plant sample from Lycoris radiata,Large bud,Bud enlarge stage,Flower,declared,Developmental stage,declared,ENA,Transcriptome analysis of bulblet initiation and development in Lycoris radiata,Large bud | Bud enlarge stage | Plant sample from Lycoris radiata | B7-1 | BGISEQ-500 sequencing: RNA-Seq of Lycoris radiata | Plant sample from Lycoris radiata | BGISEQ-500 sequencing: RNA-Seq of Lycoris radiata | BioSampleModel=Plant | INSDC secondary accession=SRS5449662 | NCBI submission package=Plant.1.0 | age=7DAT | cultivar=not applicable | dev_stage=Bud enlarge stage | ecotype=not applicable | geo_loc_name=China:Shanghai | isolate=not applicable | organism=Lycoris radiata | replicate=biological replicate 1 | tissue=Large bud | title=Plant sample from Lycoris radiata
SRR10198448,PRJNA574731,SAMN12868453,Lycoris radiata,Plant sample from Lycoris radiata,Bud,Bud initiation stage,Flower,declared,Developmental stage,declared,ENA,Transcriptome analysis of bulblet initiation and development in Lycoris radiata,Bud | Bud initiation stage | Plant sample from Lycoris radiata | B3-3 | BGISEQ-500 sequencing: RNA-Seq of Lycoris radiata | Plant sample from Lycoris radiata | BGISEQ-500 sequencing: RNA-Seq of Lycoris radiata | BioSampleModel=Plant | INSDC secondary accession=SRS5449661 | NCBI submission package=Plant.1.0 | age=3DAT | cultivar=not applicable | dev_stage=Bud initiation stage | ecotype=not applicable | geo_loc_name=China:Shanghai | isolate=not applicable | organism=Lycoris radiata | replicate=biological replicate 3 | tissue=Bud | title=Plant sample from Lycoris radiata
SRR10198449,PRJNA574731,SAMN12868452,Lycoris radiata,Plant sample from Lycoris radiata,Bud,Bud initiation stage,Flower,declared,Developmental stage,declared,ENA,Transcriptome analysis of bulblet initiation and development in Lycoris radiata,Bud | Bud initiation stage | Plant sample from Lycoris radiata | B3-2 | BGISEQ-500 sequencing: RNA-Seq of Lycoris radiata | Plant sample from Lycoris radiata | BGISEQ-500 sequencing: RNA-Seq of Lycoris radiata | BioSampleModel=Plant | INSDC secondary accession=SRS5449660 | NCBI submission package=Plant.1.0 | age=3DAT | cultivar=not applicable | dev_stage=Bud initiation stage | ecotype=not applicable | geo_loc_name=China:Shanghai | isolate=not applicable | organism=Lycoris radiata | replicate=biological replicate 2 | tissue=Bud | title=Plant sample from Lycoris radiata
SRR10198450,PRJNA574731,SAMN12868451,Lycoris radiata,Plant sample from Lycoris radiata,Bud,Bud initiation stage,Flower,declared,Developmental stage,declared,ENA,Transcriptome analysis of bulblet initiation and development in Lycoris radiata,Bud | Bud initiation stage | Plant sample from Lycoris radiata | B3-1 | BGISEQ-500 sequencing: RNA-Seq of Lycoris radiata | Plant sample from Lycoris radiata | BGISEQ-500 sequencing: RNA-Seq of Lycoris radiata | BioSampleModel=Plant | INSDC secondary accession=SRS5449659 | NCBI submission package=Plant.1.0 | age=3DAT | cultivar=not applicable | dev_stage=Bud initiation stage | ecotype=not applicable | geo_loc_name=China:Shanghai | isolate=not applicable | organism=Lycoris radiata | replicate=biological replicate 1 | tissue=Bud | title=Plant sample from Lycoris radiata
